sample	total_reads	host_reads
AMZ100	146059848	119444480
AMZ107	156520370	123110734
AMZ112	176679454	149787696
AMZ113	182334282	119828974
AMZ117	155890356	129775310
AMZ120	164582296	139354494
AMZ127	147156592	126456840
AMZ144	152296418	128008716
AMZ149	147727108	117502462
AMZ151	148467726	129257170
AMZ156	151284898	131872562
AMZ160	149792824	135329970
AMZ162	163420546	141710574
AMZ169	151925656	133424244
AMZ172	236063196	210124650
AMZ173	154570236	137943640
AMZ177	183255966	167229322
AMZ178	174169482	130406670
AMZ181	148948728	96505532
AMZ184	152991698	132076760
AMZ186	402824772	352108020
AMZ189	150550932	117076190
AMZ99_	261770406	196014302
ATA096	155505196	130194112
ATA097	151911488	102926006
ATA098	144269906	90692202
ATA099	153459292	119958766
ATA101	180747830	88090212
ATA102	152075650	127659234
ATA103	151823556	91658564
ATA104	164973248	129240342
GUN237	165410640	115673690
GUN238	155426556	136227404
GUN239	129435664	114046330
GUN246	167877596	135064228
GUN247	409900614	277106582
GUN248	166363694	109471420
GUN250	223247274	180984364
GUN251	156837898	97287472
GUN253	183833194	149505334
GUN254	167899090	142007568
GUN257	160594006	132827402
GUN259	163258720	124747574
GUN263	159445692	117227014
GUN264	167685796	108682830
GUN268	229354614	187032388
GUN269	177519290	146667216
GUV02_	178812752	127011276
GUV03_	151823834	136536212
GUV09_	162580750	135260578
GUV11_	154264096	125623856
GUV13_	159673454	84172876
GUV14_	166274954	148051388
GUV15_	119850868	106827182
GUV17_	155103504	136031568
GUV45_	203741082	182642168
GUV49_	151095366	125331598
GUV51_	153185518	120904972
GUV65_	178584072	148942778
GUV70_	166908384	140075750
GUV77_	145954584	125734032
GUV78_	162051294	145620670
GUV79_	146350336	106915702
GV03_f	171933652	158202804
GV19_f	201583162	184155816
GV23_f	162728588	123365078
GV29_f	169177346	156085418
GVG01_	164484370	152997540
GVG04_	160370244	148459194
GVG05_	154703930	142910022
GVG18_	151869814	137115050
GVG20_	178674198	165213704
GVG25_	181715396	170839626
LUR057	195020984	136330734
LUR058	159085526	135360316
LUR059	149505230	62193400
LUR060	172884096	144479450
LUR061	147665468	86531772
LUR062	163533098	123876382
LUR063	151301700	122657480
LUR064	152507532	128629080
LUR065	175918138	122615900
LUR066	184157456	155136176
LUR067	158884232	111480886
LUR068	152034044	106823298
LUR069	156205988	135895248
LUR070	161339354	135858340
LUR072	160950346	133022522
LUR074	276995900	242334856
LUR076	150527772	118740674
LUR077	146832906	32283956
LUR079	154498868	108665888
LUR080	172546562	117099930
LUR081	153768762	125101322
LUR082	148390312	107647388
LUR083	135930706	93495688
LUR088	142503878	84763974
LUR089	145509528	120421960
LUR090	146767650	125868914
LUR091	193092074	162607040
LUR092	159973724	120156000
LUR093	153864126	115461144
LUR094	158299780	118514046
LUR095	168663472	139206384
MET191	156857214	129787496
MET192	166116390	134712926
MET194	154321702	115701540
MET195	155415282	134045440
MET199	151254818	107004860
MET203	169436776	135884572
MET204	160384534	136820154
MET205	158420298	142200726
MET207	162645874	137892688
MET210	144456640	127343044
MET211	172035676	151992448
MET212	165266886	144718718
MET214	147765546	129533728
PUC001	144388900	120022316
PUC002	160952796	139405654
PUC003	150793230	90347736
PUC004	194403248	13445890
PUC005	158331450	138623258
PUC006	147309222	121696000
PUC007	150739952	100653808
PUC008	144375934	80611766
PUC009	163993050	144045940
PUC010	159769128	111994430
PUC011	207931452	153373744
PUC012	157373268	114200090
PUC013	180233404	98391634
PUC014	150646718	124096034
PUC015	154848620	138132468
PUC016	148860788	124776258
PUC017	184015566	143249870
PUC018	170059740	147869558
PUC019	154392622	139573434
PUT280	165668112	150314812
PUT327	180307382	163550290
PUT336	148876070	134827870
PUT346	164766866	142888122
PUT349	158388040	138251754
PUT350	153431462	131523658
PUT355	153689346	130966288
PUT358	151375250	89560074
PUT359	147256076	110576822
PUT363	146455982	101046206
SEP001	154521282	87214950
SEP002	144873180	89602626
SEP003	165317488	120146830
SEP004	150040740	111554274
SEP005	153528394	76612642
SEP006	144293846	121022118
SEP007	145623010	47245298
SEP008	163660738	124035584
SEP009	159796066	132998918
SEP010	169062400	144561926
SEP011	162908798	77089586
SEP012	160579068	117330248
SEP013	153795594	115949982
SEP014	152278942	117181322
SEP015	148599734	121895324
SEP016	177292726	134870964
SEP018	160428756	135425636
SEP020	171888164	144083354
SEP021	163180296	143770680
SEP022	170000640	104484842
SEP024	166052106	131885642
SEP025	49319210	38895520
SEP026	175536814	126663738
SEP027	168112092	133137318
SEP028	152391500	124815712
SEP029	148583594	71317210
SEP030	147379840	100012676
SEP031	165181394	141265752
SEP032	152937042	102897704
SEP035	148469172	99443842
SEP036	242317994	24899972
SEP037	169324808	120210220
SEP038	157796588	116767822
SEP039	157528218	116910184
SEP040	144928504	113577200
SEP041	166984826	132624392
SEP042	157843648	131957826
SEP043	160576670	124906828
SEP044	178555696	161117844
SEP045	157450756	96585090
SEP046	156116082	132176882
SEP048	164845698	139370688
SEP049	158325296	91754846
SEP050	163781382	65173690
SEP051	154235066	111018760
SEP052	157225892	130196172
SEP053	157771884	130618644
SEP054	162820594	120108150
SEP055	156815944	117988812
SEP056	146002618	116875908
SEP084	157606552	130694304
SEP085	204245554	173774656
SEP086	149479680	111889856
